PRIMARY_ID,BioSample,BioProject,SRA_ID
SRX9363358,SAMN03283347,PRJNA200694,SRA1100085
SRX9363357,SAMN03283347,PRJNA200694,SRA1100085
SRX9363356,SAMN03283347,PRJNA200694,SRA1100085
SRX9363355,SAMN03283347,PRJNA200694,SRA1100085
SRX9363354,SAMN03283347,PRJNA200694,SRA1100085
SRX9363353,SAMN03283347,PRJNA200694,SRA1100085
SRX9363352,SAMN03283347,PRJNA200694,SRA1100085
SRX9363351,SAMN03283347,PRJNA200694,SRA1100085
SRX9363350,SAMN03283347,PRJNA200694,SRA1100085
SRX9363349,SAMN03283347,PRJNA200694,SRA1100085
SRX9363348,SAMN03283347,PRJNA200694,SRA1100085
SRX9363347,SAMN03283347,PRJNA200694,SRA1100085
SRX9363346,SAMN03283347,PRJNA200694,SRA1100085
SRX9363345,SAMN03283347,PRJNA200694,SRA1100085
SRX9363344,SAMN03283347,PRJNA200694,SRA1100085
SRX9363343,SAMN03283347,PRJNA200694,SRA1100085
SRX9363342,SAMN03283347,PRJNA200694,SRA1100085
SRX9363341,SAMN03283347,PRJNA200694,SRA1100085
SRX9363340,SAMN03283347,PRJNA200694,SRA1100085
SRX9363339,SAMN03283347,PRJNA200694,SRA1100085
SRX9363338,SAMN03283347,PRJNA200694,SRA1100085
SRX9363337,SAMN03283347,PRJNA200694,SRA1100085
SRX9363336,SAMN03283347,PRJNA200694,SRA1100085
SRX9363335,SAMN03283347,PRJNA200694,SRA1100085
SRX9363334,SAMN03283347,PRJNA200694,SRA1100085
SRX9363333,SAMN03283347,PRJNA200694,SRA1100085
SRX9363332,SAMN03283347,PRJNA200694,SRA1100085
SRX9363331,SAMN03283347,PRJNA200694,SRA1100085
SRX9363330,SAMN03283347,PRJNA200694,SRA1100085
SRX9363329,SAMN03283347,PRJNA200694,SRA1100085
SRX9363328,SAMN03283347,PRJNA200694,SRA1100085
SRX10377957,SAMN03255769,PRJNA559484,SRA1207903
SRX10377956,SAMN03255769,PRJNA559484,SRA1207903
SRX10230903,SAMN03255769,PRJNA559484,SRA1202554
SRX10230902,SAMN03255769,PRJNA559484,SRA1202554
SRX10230901,SAMN03255769,PRJNA559484,SRA1202554
SRX10230900,SAMN03255769,PRJNA559484,SRA1202554
SRX9708461,SAMN03255769,PRJNA559484,SRA1171944
SRX9708460,SAMN03255769,PRJNA559484,SRA1171944
SRX9708459,SAMN03255769,PRJNA559484,SRA1171944
SRX9708458,SAMN03255769,PRJNA559484,SRA1171944
SRX9101328,SAMN03255769,PRJNA559484,SRA1123283
SRX9101327,SAMN03255769,PRJNA559484,SRA1123283
